Subject,Channel_Pair,Band,Coherence
H S29 EC.fif,T4-Cz,Alpha,0.11323713528382834
H S29 EC.fif,T4-Cz,Beta,0.038142886159054916
H S29 EC.fif,T4-Cz,Gamma,0.05061142650727939
H S29 EC.fif,T4-Pz,Delta,0.056676289254601095
H S29 EC.fif,T4-Pz,Theta,0.08300009544909501
H S29 EC.fif,T4-Pz,Alpha,0.24849038838024493
H S29 EC.fif,T4-Pz,Beta,0.032811184148921486
H S29 EC.fif,T4-Pz,Gamma,0.03325152494918537
H S29 EC.fif,T6-Cz,Delta,0.15101228609764128
H S29 EC.fif,T6-Cz,Theta,0.20288952807597938
H S29 EC.fif,T6-Cz,Alpha,0.4761041656832212
H S29 EC.fif,T6-Cz,Beta,0.12240570339510487
H S29 EC.fif,T6-Cz,Gamma,0.01699511761788699
H S29 EC.fif,T6-Pz,Delta,0.04468835935468694
H S29 EC.fif,T6-Pz,Theta,0.020473564685855025
H S29 EC.fif,T6-Pz,Alpha,0.17512143643237155
H S29 EC.fif,T6-Pz,Beta,0.039286162504414246
H S29 EC.fif,T6-Pz,Gamma,0.026831154744670967
H S29 EC.fif,Cz-Pz,Delta,0.21810226137626582
H S29 EC.fif,Cz-Pz,Theta,0.12758294756600994
H S29 EC.fif,Cz-Pz,Alpha,0.10583862314931888
H S29 EC.fif,Cz-Pz,Beta,0.0503677678746387
H S29 EC.fif,Cz-Pz,Gamma,0.017916555974048162
H S9 EC.fif,Fp1-F3,Delta,0.06664963630187021
H S9 EC.fif,Fp1-F3,Theta,0.23051327135730762
H S9 EC.fif,Fp1-F3,Alpha,0.4650729205216483
H S9 EC.fif,Fp1-F3,Beta,0.12385537163750232
H S9 EC.fif,Fp1-F3,Gamma,0.1520238209373153
H S9 EC.fif,Fp1-C3,Delta,0.09431759558196252
H S9 EC.fif,Fp1-C3,Theta,0.2606760010050232
H S9 EC.fif,Fp1-C3,Alpha,0.09656510765795706
H S9 EC.fif,Fp1-C3,Beta,0.03775043548275925
H S9 EC.fif,Fp1-C3,Gamma,0.1435437457443982
H S9 EC.fif,Fp1-P3,Delta,0.08061505050357134
H S9 EC.fif,Fp1-P3,Theta,0.3097248655337508
H S9 EC.fif,Fp1-P3,Alpha,0.3292812122915857
H S9 EC.fif,Fp1-P3,Beta,0.10828328266868172
H S9 EC.fif,Fp1-P3,Gamma,0.1529749989154188
H S9 EC.fif,Fp1-O1,Delta,0.04317359791245323
H S9 EC.fif,Fp1-O1,Theta,0.22932163711148779
H S9 EC.fif,Fp1-O1,Alpha,0.2092284859970398
H S9 EC.fif,Fp1-O1,Beta,0.04259115995531709
H S9 EC.fif,Fp1-O1,Gamma,0.11709904665723293
H S9 EC.fif,Fp1-F7,Delta,0.21960212006635488
H S9 EC.fif,Fp1-F7,Theta,0.26742516498072366
H S9 EC.fif,Fp1-F7,Alpha,0.38507666871419666
H S9 EC.fif,Fp1-F7,Beta,0.05774259087470398
H S9 EC.fif,Fp1-F7,Gamma,0.12646784608855693
H S9 EC.fif,Fp1-T3,Delta,0.19812702015269437
H S9 EC.fif,Fp1-T3,Theta,0.25242234523401985
H S9 EC.fif,Fp1-T3,Alpha,0.04545284761716987
H S9 EC.fif,Fp1-T3,Beta,0.03821880779142299
H S9 EC.fif,Fp1-T3,Gamma,0.14501168383714605
H S9 EC.fif,Fp1-T5,Delta,0.049177587697589016
H S9 EC.fif,Fp1-T5,Theta,0.28750809300111313
H S9 EC.fif,Fp1-T5,Alpha,0.3703791348886808
H S9 EC.fif,Fp1-T5,Beta,0.08216239275944745
H S9 EC.fif,Fp1-T5,Gamma,0.13752365223193255
H S9 EC.fif,Fp1-Fz,Delta,0.026849852213690222
H S9 EC.fif,Fp1-Fz,Theta,0.2568180310741176
H S9 EC.fif,Fp1-Fz,Alpha,0.5064351324880192
H S9 EC.fif,Fp1-Fz,Beta,0.09184290142554863
H S9 EC.fif,Fp1-Fz,Gamma,0.14414492938827092
H S9 EC.fif,Fp1-Fp2,Delta,0.324665455194837
H S9 EC.fif,Fp1-Fp2,Theta,0.2965942994221754
H S9 EC.fif,Fp1-Fp2,Alpha,0.40684671975237374
H S9 EC.fif,Fp1-Fp2,Beta,0.09404122654073163
H S9 EC.fif,Fp1-Fp2,Gamma,0.1121060867509196
H S9 EC.fif,Fp1-F4,Delta,0.0914770492197031
H S9 EC.fif,Fp1-F4,Theta,0.2630615468713957
H S9 EC.fif,Fp1-F4,Alpha,0.296866712395596
H S9 EC.fif,Fp1-F4,Beta,0.05537317286854135
H S9 EC.fif,Fp1-F4,Gamma,0.14651691891368374
H S9 EC.fif,Fp1-C4,Delta,0.1347557341322365
H S9 EC.fif,Fp1-C4,Theta,0.2813702877388763
H S9 EC.fif,Fp1-C4,Alpha,0.15772291464163732
H S9 EC.fif,Fp1-C4,Beta,0.054228522031510074
H S9 EC.fif,Fp1-C4,Gamma,0.14511715542410855
H S9 EC.fif,Fp1-P4,Delta,0.06380965751297911
H S9 EC.fif,Fp1-P4,Theta,0.25470894071684447
H S9 EC.fif,Fp1-P4,Alpha,0.11625981582288329
H S9 EC.fif,Fp1-P4,Beta,0.04428600749664335
H S9 EC.fif,Fp1-P4,Gamma,0.12022047832021335
H S9 EC.fif,Fp1-O2,Delta,0.07747034550254296
H S9 EC.fif,Fp1-O2,Theta,0.2374791244125002
H S9 EC.fif,Fp1-O2,Alpha,0.17403008810557094
H S9 EC.fif,Fp1-O2,Beta,0.03646576094034508
H S9 EC.fif,Fp1-O2,Gamma,0.1275903995390721
H S9 EC.fif,Fp1-F8,Delta,0.024478299449608016
H S9 EC.fif,Fp1-F8,Theta,0.2591442503300901
H S9 EC.fif,Fp1-F8,Alpha,0.22760025540483605
H S9 EC.fif,Fp1-F8,Beta,0.05254348080134119
H S9 EC.fif,Fp1-F8,Gamma,0.1475855528049927
H S9 EC.fif,Fp1-T4,Delta,0.0325520895021311
H S9 EC.fif,Fp1-T4,Theta,0.28934719036850015
H S9 EC.fif,Fp1-T4,Alpha,0.17609436978107962
H S9 EC.fif,Fp1-T4,Beta,0.05780079362132703
H S9 EC.fif,Fp1-T4,Gamma,0.13987859753450135
H S9 EC.fif,Fp1-T6,Delta,0.18200248224031496
H S9 EC.fif,Fp1-T6,Theta,0.24323383698198142
H S9 EC.fif,Fp1-T6,Alpha,0.1134049477035964
H S9 EC.fif,Fp1-T6,Beta,0.030782262143135748
H S9 EC.fif,Fp1-T6,Gamma,0.11528332711800729
H S9 EC.fif,Fp1-Cz,Delta,0.03320500263685767
H S9 EC.fif,Fp1-Cz,Theta,0.2586306131682847
H S9 EC.fif,Fp1-Cz,Alpha,0.15842403338748212
H S9 EC.fif,Fp1-Cz,Beta,0.04617483914613703
H S9 EC.fif,Fp1-Cz,Gamma,0.12380039045292306
H S9 EC.fif,Fp1-Pz,Delta,0.09524139206336156
H S9 EC.fif,Fp1-Pz,Theta,0.31965851946735224
H S9 EC.fif,Fp1-Pz,Alpha,0.2173424163487673
H S9 EC.fif,Fp1-Pz,Beta,0.1285653033425845
H S9 EC.fif,Fp1-Pz,Gamma,0.20561117722755096
H S9 EC.fif,F3-C3,Delta,0.041546157572914445
H S9 EC.fif,F3-C3,Theta,0.3035100190905442
H S9 EC.fif,F3-C3,Alpha,0.14606673297466363
H S9 EC.fif,F3-C3,Beta,0.056705126201201016
H S9 EC.fif,F3-C3,Gamma,0.15104699229666602
H S9 EC.fif,F3-P3,Delta,0.04749338248470274
H S9 EC.fif,F3-P3,Theta,0.32863936042267167
H S9 EC.fif,F3-P3,Alpha,0.17634129193792836
H S9 EC.fif,F3-P3,Beta,0.0757731621491717
H S9 EC.fif,F3-P3,Gamma,0.1612005045603444
H S9 EC.fif,F3-O1,Delta,0.07004938769646477
H S9 EC.fif,F3-O1,Theta,0.3348505489124092
H S9 EC.fif,F3-O1,Alpha,0.28170415663063153
H S9 EC.fif,F3-O1,Beta,0.10740744288176951
H S9 EC.fif,F3-O1,Gamma,0.15909060153858223
H S9 EC.fif,F3-F7,Delta,0.03368854057259354
H S9 EC.fif,F3-F7,Theta,0.29011335735565774
H S9 EC.fif,F3-F7,Alpha,0.42742244280460656
H S9 EC.fif,F3-F7,Beta,0.09383918008092232
H S9 EC.fif,F3-F7,Gamma,0.17023650870675178
H S9 EC.fif,F3-T3,Delta,0.0456320740012018
H S9 EC.fif,F3-T3,Theta,0.29218743312112644
H S9 EC.fif,F3-T3,Alpha,0.04360910091631032
H S9 EC.fif,F3-T3,Beta,0.04400601919703461
H S9 EC.fif,F3-T3,Gamma,0.16349174590324625
H S9 EC.fif,F3-T5,Delta,0.04980324545632949
H S9 EC.fif,F3-T5,Theta,0.32768365368220986
H S9 EC.fif,F3-T5,Alpha,0.27973115021416556
H S9 EC.fif,F3-T5,Beta,0.07491718068987034
H S9 EC.fif,F3-T5,Gamma,0.1572697242600475
H S9 EC.fif,F3-Fz,Delta,0.0369971731288344
H S9 EC.fif,F3-Fz,Theta,0.30386907227235144
H S9 EC.fif,F3-Fz,Alpha,0.5280588813803611
H S9 EC.fif,F3-Fz,Beta,0.09019357334624142
H S9 EC.fif,F3-Fz,Gamma,0.1558682731270814
H S9 EC.fif,F3-Fp2,Delta,0.03215768439515213
H S9 EC.fif,F3-Fp2,Theta,0.2929036971414107
H S9 EC.fif,F3-Fp2,Alpha,0.2644066431490931
H S9 EC.fif,F3-Fp2,Beta,0.0660680729335414
H S9 EC.fif,F3-Fp2,Gamma,0.13052095182892284
H S9 EC.fif,F3-F4,Delta,0.04072867360335738
H S9 EC.fif,F3-F4,Theta,0.29740084490039903
H S9 EC.fif,F3-F4,Alpha,0.23218728613980952
H S9 EC.fif,F3-F4,Beta,0.051919445478498805
H S9 EC.fif,F3-F4,Gamma,0.16933100847034896
H S9 EC.fif,F3-C4,Delta,0.015406933531357272
H S9 EC.fif,F3-C4,Theta,0.2906404711484878
H S9 EC.fif,F3-C4,Alpha,0.19804882747409386
H S9 EC.fif,F3-C4,Beta,0.04745617713825594
H S9 EC.fif,F3-C4,Gamma,0.15946708297629136
H S9 EC.fif,F3-P4,Delta,0.043340540901406835
H S9 EC.fif,F3-P4,Theta,0.3260258915994589
H S9 EC.fif,F3-P4,Alpha,0.20070305139507735
H S9 EC.fif,F3-P4,Beta,0.09713782076295471
H S9 EC.fif,F3-P4,Gamma,0.1590232505284671
H S9 EC.fif,F3-O2,Delta,0.028346823898326306
H S9 EC.fif,F3-O2,Theta,0.27532624666089656
H S9 EC.fif,F3-O2,Alpha,0.30108281526815395
H S9 EC.fif,F3-O2,Beta,0.048505680113208445
H S9 EC.fif,F3-O2,Gamma,0.148952344237876
H S9 EC.fif,F3-F8,Delta,0.017528579461133783
H S9 EC.fif,F3-F8,Theta,0.2901686428629335
H S9 EC.fif,F3-F8,Alpha,0.11117611069982153
H S9 EC.fif,F3-F8,Beta,0.04871363696676135
H S9 EC.fif,F3-F8,Gamma,0.17644714210902898
H S9 EC.fif,F3-T4,Delta,0.03959884549237944
H S9 EC.fif,F3-T4,Theta,0.26412248856419074
H S9 EC.fif,F3-T4,Alpha,0.0986961460698451
H S9 EC.fif,F3-T4,Beta,0.04101623005372162
H S9 EC.fif,F3-T4,Gamma,0.1268169822886562
H S9 EC.fif,F3-T6,Delta,0.04007699055287509
H S9 EC.fif,F3-T6,Theta,0.32780229662961735
H S9 EC.fif,F3-T6,Alpha,0.20380873157794585
H S9 EC.fif,F3-T6,Beta,0.08067105675607754
H S9 EC.fif,F3-T6,Gamma,0.14928575182731482
H S9 EC.fif,F3-Cz,Delta,0.00998197461945199
H S9 EC.fif,F3-Cz,Theta,0.2943579226291247
H S9 EC.fif,F3-Cz,Alpha,0.19296016164456878
H S9 EC.fif,F3-Cz,Beta,0.05112780885253058
H S9 EC.fif,F3-Cz,Gamma,0.1382631579142166
H S9 EC.fif,F3-Pz,Delta,0.09349069513579807
H S9 EC.fif,F3-Pz,Theta,0.33625861966383186
H S9 EC.fif,F3-Pz,Alpha,0.20894280909842988
H S9 EC.fif,F3-Pz,Beta,0.11453549710431869
H S9 EC.fif,F3-Pz,Gamma,0.21068256320315873
H S9 EC.fif,C3-P3,Delta,0.12203005099123314
H S9 EC.fif,C3-P3,Theta,0.4252322663251774
H S9 EC.fif,C3-P3,Alpha,0.13718404795602582
H S9 EC.fif,C3-P3,Beta,0.1016667201138515
H S9 EC.fif,C3-P3,Gamma,0.18726009197039967
H S9 EC.fif,C3-O1,Delta,0.06455215258479262
H S9 EC.fif,C3-O1,Theta,0.3743373998312089
H S9 EC.fif,C3-O1,Alpha,0.2939942467976826
H S9 EC.fif,C3-O1,Beta,0.10926095730445681
H S9 EC.fif,C3-O1,Gamma,0.2157439110279412
H S9 EC.fif,C3-F7,Delta,0.04670318610313339
H S9 EC.fif,C3-F7,Theta,0.3621688023900002
H S9 EC.fif,C3-F7,Alpha,0.10531969048036707
H S9 EC.fif,C3-F7,Beta,0.083864542796023
H S9 EC.fif,C3-F7,Gamma,0.1819396068464016
H S9 EC.fif,C3-T3,Delta,0.28577572100116816
H S9 EC.fif,C3-T3,Theta,0.5592198020210666
H S9 EC.fif,C3-T3,Alpha,0.5543295966484705
H S9 EC.fif,C3-T3,Beta,0.37889637198428283
H S9 EC.fif,C3-T3,Gamma,0.3455337958419448
H S9 EC.fif,C3-T5,Delta,0.034927749431805495
H S9 EC.fif,C3-T5,Theta,0.36117858503006983
H S9 EC.fif,C3-T5,Alpha,0.14871939615721946
H S9 EC.fif,C3-T5,Beta,0.0664738821114946
H S9 EC.fif,C3-T5,Gamma,0.181409664957517
H S9 EC.fif,C3-Fz,Delta,0.05545091409145574
H S9 EC.fif,C3-Fz,Theta,0.3690161455185461
H S9 EC.fif,C3-Fz,Alpha,0.22247548099986755
H S9 EC.fif,C3-Fz,Beta,0.0796919299935794
H S9 EC.fif,C3-Fz,Gamma,0.18793936550471343
H S9 EC.fif,C3-Fp2,Delta,0.1513073141711789
H S9 EC.fif,C3-Fp2,Theta,0.4043608485649516
H S9 EC.fif,C3-Fp2,Alpha,0.1862139597607367
H S9 EC.fif,C3-Fp2,Beta,0.0870813569635208
H S9 EC.fif,C3-Fp2,Gamma,0.18537353457699923
H S9 EC.fif,C3-F4,Delta,0.01597006638399349
H S9 EC.fif,C3-F4,Theta,0.3564978994088842
H S9 EC.fif,C3-F4,Alpha,0.22251727059389204
H S9 EC.fif,C3-F4,Beta,0.06439860696285689
H S9 EC.fif,C3-F4,Gamma,0.1701260171449738
H S9 EC.fif,C3-C4,Delta,0.03877214299732202
H S9 EC.fif,C3-C4,Theta,0.3786192117262378
H S9 EC.fif,C3-C4,Alpha,0.16674895658825487
H S9 EC.fif,C3-C4,Beta,0.0948425841462281
H S9 EC.fif,C3-C4,Gamma,0.2245226146708819
H S9 EC.fif,C3-P4,Delta,0.07461030867748304
H S9 EC.fif,C3-P4,Theta,0.4542388255638286
H S9 EC.fif,C3-P4,Alpha,0.3794587529103618
H S9 EC.fif,C3-P4,Beta,0.18761301507962044
H S9 EC.fif,C3-P4,Gamma,0.23042369061269022
H S9 EC.fif,C3-O2,Delta,0.1360987394779939
H S9 EC.fif,C3-O2,Theta,0.47104893259077163
H S9 EC.fif,C3-O2,Alpha,0.41414570707182086
H S9 EC.fif,C3-O2,Beta,0.21449386476996776
H S9 EC.fif,C3-O2,Gamma,0.19948175808668836
H S9 EC.fif,C3-F8,Delta,0.08619026932221838
H S9 EC.fif,C3-F8,Theta,0.3670392446022312
H S9 EC.fif,C3-F8,Alpha,0.13970061936713607
H S9 EC.fif,C3-F8,Beta,0.07007186382544145
H S9 EC.fif,C3-F8,Gamma,0.1579095436583103
H S9 EC.fif,C3-T4,Delta,0.12700745176662667
H S9 EC.fif,C3-T4,Theta,0.44620562576236583
H S9 EC.fif,C3-T4,Alpha,0.1834704563410757
H S9 EC.fif,C3-T4,Beta,0.13245587587571264
H S9 EC.fif,C3-T4,Gamma,0.19150025966724255
H S9 EC.fif,C3-T6,Delta,0.18903765781938991
H S9 EC.fif,C3-T6,Theta,0.5104567209443716
H S9 EC.fif,C3-T6,Alpha,0.5143155061139149
H S9 EC.fif,C3-T6,Beta,0.235901789940234
H S9 EC.fif,C3-T6,Gamma,0.22673091600038134
H S9 EC.fif,C3-Cz,Delta,0.16072041727732875
H S9 EC.fif,C3-Cz,Theta,0.3750049929752564
H S9 EC.fif,C3-Cz,Alpha,0.2639371305883531
H S9 EC.fif,C3-Cz,Beta,0.06906261104490385
H S9 EC.fif,C3-Cz,Gamma,0.17686373670926525
H S9 EC.fif,C3-Pz,Delta,0.027363704392168342
H S9 EC.fif,C3-Pz,Theta,0.3753999311301408
H S9 EC.fif,C3-Pz,Alpha,0.10672230495882015
H S9 EC.fif,C3-Pz,Beta,0.07682786708614783
H S9 EC.fif,C3-Pz,Gamma,0.205616696777272
H S9 EC.fif,P3-O1,Delta,0.2958234934135702
H S9 EC.fif,P3-O1,Theta,0.4144228639645048
H S9 EC.fif,P3-O1,Alpha,0.23845609440388849
H S9 EC.fif,P3-O1,Beta,0.14649028180311027
H S9 EC.fif,P3-O1,Gamma,0.1867805284944215
H S9 EC.fif,P3-F7,Delta,0.03750535365384272
H S9 EC.fif,P3-F7,Theta,0.37595037504938184
H S9 EC.fif,P3-F7,Alpha,0.1778209032972139
H S9 EC.fif,P3-F7,Beta,0.10131166523117652
H S9 EC.fif,P3-F7,Gamma,0.19904906038897574
H S9 EC.fif,P3-T3,Delta,0.07124239852735532
H S9 EC.fif,P3-T3,Theta,0.4188738590031914
H S9 EC.fif,P3-T3,Alpha,0.22466427648619736
H S9 EC.fif,P3-T3,Beta,0.13111024435979035
H S9 EC.fif,P3-T3,Gamma,0.21114431475070297
H S9 EC.fif,P3-T5,Delta,0.6090323245519854
H S9 EC.fif,P3-T5,Theta,0.7413066042763764
H S9 EC.fif,P3-T5,Alpha,0.6406442923196125
H S9 EC.fif,P3-T5,Beta,0.5081471883489088
H S9 EC.fif,P3-T5,Gamma,0.343848729883554
H S9 EC.fif,P3-Fz,Delta,0.20583809083406177
H S9 EC.fif,P3-Fz,Theta,0.43181077698346676
H S9 EC.fif,P3-Fz,Alpha,0.2678889048841077
H S9 EC.fif,P3-Fz,Beta,0.17501935794857507
H S9 EC.fif,P3-Fz,Gamma,0.24324756608477355
H S9 EC.fif,P3-Fp2,Delta,0.19645978593818544
H S9 EC.fif,P3-Fp2,Theta,0.4232233453935934
H S9 EC.fif,P3-Fp2,Alpha,0.3222425292826422
H S9 EC.fif,P3-Fp2,Beta,0.14619267023898871
H S9 EC.fif,P3-Fp2,Gamma,0.16765825831951162
H S9 EC.fif,P3-F4,Delta,0.2655312897385679
H S9 EC.fif,P3-F4,Theta,0.5368177701950204
H S9 EC.fif,P3-F4,Alpha,0.337141635808913
H S9 EC.fif,P3-F4,Beta,0.25370917406390825
H S9 EC.fif,P3-F4,Gamma,0.21859083582087463
H S9 EC.fif,P3-C4,Delta,0.1217444955520807
H S9 EC.fif,P3-C4,Theta,0.47400756582322207
H S9 EC.fif,P3-C4,Alpha,0.2772489979402656
H S9 EC.fif,P3-C4,Beta,0.1881002194420761
H S9 EC.fif,P3-C4,Gamma,0.24416695324430052
H S9 EC.fif,P3-P4,Delta,0.0756165719231017
H S9 EC.fif,P3-P4,Theta,0.3718152254163478
H S9 EC.fif,P3-P4,Alpha,0.06782888925370129
H S9 EC.fif,P3-P4,Beta,0.07866361976247496
H S9 EC.fif,P3-P4,Gamma,0.19927149812463565
H S9 EC.fif,P3-O2,Delta,0.038489983291542254
H S9 EC.fif,P3-O2,Theta,0.3111618136285612
H S9 EC.fif,P3-O2,Alpha,0.02326555497865448
H S9 EC.fif,P3-O2,Beta,0.041033367163323
H S9 EC.fif,P3-O2,Gamma,0.17057100668569544
H S9 EC.fif,P3-F8,Delta,0.23814979196555483
H S9 EC.fif,P3-F8,Theta,0.5031646606622555
H S9 EC.fif,P3-F8,Alpha,0.35848752905761055
H S9 EC.fif,P3-F8,Beta,0.22521993928681275
H S9 EC.fif,P3-F8,Gamma,0.20401136645849274
H S9 EC.fif,P3-T4,Delta,0.17604078591567843
H S9 EC.fif,P3-T4,Theta,0.4647674900037893
H S9 EC.fif,P3-T4,Alpha,0.5061033026069276
H S9 EC.fif,P3-T4,Beta,0.18608822785383153
H S9 EC.fif,P3-T4,Gamma,0.2016288706767004
H S9 EC.fif,P3-T6,Delta,0.034266568495934034
H S9 EC.fif,P3-T6,Theta,0.3773092522154091
H S9 EC.fif,P3-T6,Alpha,0.11598225664375053
H S9 EC.fif,P3-T6,Beta,0.10003503785881307
H S9 EC.fif,P3-T6,Gamma,0.19953854949201671
H S9 EC.fif,P3-Cz,Delta,0.005031470308873924
H S9 EC.fif,P3-Cz,Theta,0.3653886160111889
H S9 EC.fif,P3-Cz,Alpha,0.1389843374353953
H S9 EC.fif,P3-Cz,Beta,0.07614031052742809
H S9 EC.fif,P3-Cz,Gamma,0.1949497837093821
H S9 EC.fif,P3-Pz,Delta,0.37668626938905614
H S9 EC.fif,P3-Pz,Theta,0.3956731729840455
H S9 EC.fif,P3-Pz,Alpha,0.2520739403692283
H S9 EC.fif,P3-Pz,Beta,0.11873422612464114
H S9 EC.fif,P3-Pz,Gamma,0.19307534452127248
H S9 EC.fif,O1-F7,Delta,0.04012909784173408
H S9 EC.fif,O1-F7,Theta,0.3695254644192351
H S9 EC.fif,O1-F7,Alpha,0.19885344218470483
H S9 EC.fif,O1-F7,Beta,0.11645166682325574
H S9 EC.fif,O1-F7,Gamma,0.21165172015264272
H S9 EC.fif,O1-T3,Delta,0.020472486266616713
H S9 EC.fif,O1-T3,Theta,0.319883222425773
H S9 EC.fif,O1-T3,Alpha,0.1106234276591558
H S9 EC.fif,O1-T3,Beta,0.053209161280891606
H S9 EC.fif,O1-T3,Gamma,0.19600910731920967
H S9 EC.fif,O1-T5,Delta,0.3349384033697426
H S9 EC.fif,O1-T5,Theta,0.44230938319647695
H S9 EC.fif,O1-T5,Alpha,0.38594396823309046
H S9 EC.fif,O1-T5,Beta,0.19626294370855416
H S9 EC.fif,O1-T5,Gamma,0.18592740364481317
H S9 EC.fif,O1-Fz,Delta,0.4309508659250857
H S9 EC.fif,O1-Fz,Theta,0.40876600053411766
H S9 EC.fif,O1-Fz,Alpha,0.48381031328288604
H S9 EC.fif,O1-Fz,Beta,0.1926522215726514
H S9 EC.fif,O1-Fz,Gamma,0.18735460153944342
H S9 EC.fif,O1-Fp2,Delta,0.12257973136958766
H S9 EC.fif,O1-Fp2,Theta,0.3865346975457621
H S9 EC.fif,O1-Fp2,Alpha,0.4454947353645806
H S9 EC.fif,O1-Fp2,Beta,0.15142995375810156
H S9 EC.fif,O1-Fp2,Gamma,0.20619685977137625
H S9 EC.fif,O1-F4,Delta,0.29955319574680345
H S9 EC.fif,O1-F4,Theta,0.46793158792347295
H S9 EC.fif,O1-F4,Alpha,0.5404612477940872
H S9 EC.fif,O1-F4,Beta,0.2074401184320723
H S9 EC.fif,O1-F4,Gamma,0.2255246377027341
H S9 EC.fif,O1-C4,Delta,0.1927779002684482
H S9 EC.fif,O1-C4,Theta,0.5082886648184587
H S9 EC.fif,O1-C4,Alpha,0.3677382026287831
H S9 EC.fif,O1-C4,Beta,0.23394753587652364
H S9 EC.fif,O1-C4,Gamma,0.234189075608101
H S9 EC.fif,O1-P4,Delta,0.14066416822354336
H S9 EC.fif,O1-P4,Theta,0.35059788848979534
H S9 EC.fif,O1-P4,Alpha,0.18062051647812707
H S9 EC.fif,O1-P4,Beta,0.07608571901469488
H S9 EC.fif,O1-P4,Gamma,0.22403491789771265
H S9 EC.fif,O1-O2,Delta,0.3310112012109366
H S9 EC.fif,O1-O2,Theta,0.42553649996331244
H S9 EC.fif,O1-O2,Alpha,0.47110778311335305
H S9 EC.fif,O1-O2,Beta,0.19434875046582228
H S9 EC.fif,O1-O2,Gamma,0.16400010747908325
H S9 EC.fif,O1-F8,Delta,0.1103384720071759
H S9 EC.fif,O1-F8,Theta,0.37516875313871517
H S9 EC.fif,O1-F8,Alpha,0.31280327641396394
H S9 EC.fif,O1-F8,Beta,0.09875465240116912
H S9 EC.fif,O1-F8,Gamma,0.19143832527985014
H S9 EC.fif,O1-T4,Delta,0.0612668801124995
H S9 EC.fif,O1-T4,Theta,0.3756766614754529
H S9 EC.fif,O1-T4,Alpha,0.16008288314486305
H S9 EC.fif,O1-T4,Beta,0.11201331496536807
H S9 EC.fif,O1-T4,Gamma,0.18113510084230602
H S9 EC.fif,O1-T6,Delta,0.13633074195437103
H S9 EC.fif,O1-T6,Theta,0.34886241590918915
H S9 EC.fif,O1-T6,Alpha,0.2628738600165962
H S9 EC.fif,O1-T6,Beta,0.09256532527405811
H S9 EC.fif,O1-T6,Gamma,0.20392142754159237
H S9 EC.fif,O1-Cz,Delta,0.09341377728640489
H S9 EC.fif,O1-Cz,Theta,0.37931405290773057
H S9 EC.fif,O1-Cz,Alpha,0.49412652108540567
H S9 EC.fif,O1-Cz,Beta,0.14953758367116438
H S9 EC.fif,O1-Cz,Gamma,0.20112743872000524
H S9 EC.fif,O1-Pz,Delta,0.23498092420722555
H S9 EC.fif,O1-Pz,Theta,0.3570114427339449
H S9 EC.fif,O1-Pz,Alpha,0.17662716155942387
H S9 EC.fif,O1-Pz,Beta,0.0965609368191618
H S9 EC.fif,O1-Pz,Gamma,0.184408816835441
H S9 EC.fif,F7-T3,Delta,0.16320527533997425
H S9 EC.fif,F7-T3,Theta,0.38248381395603404
H S9 EC.fif,F7-T3,Alpha,0.08350296106018501
H S9 EC.fif,F7-T3,Beta,0.11555655881552732
H S9 EC.fif,F7-T3,Gamma,0.1992219728981769
H S9 EC.fif,F7-T5,Delta,0.01626818202376012
H S9 EC.fif,F7-T5,Theta,0.3555858923996909
H S9 EC.fif,F7-T5,Alpha,0.19500630386825957
H S9 EC.fif,F7-T5,Beta,0.07686302738433315
H S9 EC.fif,F7-T5,Gamma,0.19125005375633491
H S9 EC.fif,F7-Fz,Delta,0.014584435577529031
H S9 EC.fif,F7-Fz,Theta,0.34000600279870896
H S9 EC.fif,F7-Fz,Alpha,0.43056107685566447
H S9 EC.fif,F7-Fz,Beta,0.10954430027336773
H S9 EC.fif,F7-Fz,Gamma,0.20448027596871088
H S9 EC.fif,F7-Fp2,Delta,0.21843750117329197
H S9 EC.fif,F7-Fp2,Theta,0.4079152996804958
H S9 EC.fif,F7-Fp2,Alpha,0.2570584858579715
H S9 EC.fif,F7-Fp2,Beta,0.1111190946554058
H S9 EC.fif,F7-Fp2,Gamma,0.17223482366761939
H S9 EC.fif,F7-F4,Delta,0.06477120476997823
H S9 EC.fif,F7-F4,Theta,0.35290110419554005
H S9 EC.fif,F7-F4,Alpha,0.1812655865797118
H S9 EC.fif,F7-F4,Beta,0.07622064179526822
H S9 EC.fif,F7-F4,Gamma,0.18464539423302959
H S9 EC.fif,F7-C4,Delta,0.13154231156042862
H S9 EC.fif,F7-C4,Theta,0.36347863667440805
H S9 EC.fif,F7-C4,Alpha,0.15081643994943647
H S9 EC.fif,F7-C4,Beta,0.07917692409097497
H S9 EC.fif,F7-C4,Gamma,0.21812821589561016
H S9 EC.fif,F7-P4,Delta,0.14153645226287642
H S9 EC.fif,F7-P4,Theta,0.4582889924024808
H S9 EC.fif,F7-P4,Alpha,0.202784065854458
H S9 EC.fif,F7-P4,Beta,0.17549043224786795
H S9 EC.fif,F7-P4,Gamma,0.21673332865829834
H S9 EC.fif,F7-O2,Delta,0.0570562573190821
H S9 EC.fif,F7-O2,Theta,0.3250442779117988
H S9 EC.fif,F7-O2,Alpha,0.2753588911129474
H S9 EC.fif,F7-O2,Beta,0.10292484416812231
H S9 EC.fif,F7-O2,Gamma,0.18926062293615317
H S9 EC.fif,F7-F8,Delta,0.014752321096414844
